TITLE,ITEM_NUM,BIDDER,PRICE
"AGGREGATES, HOT MIX ASPHALT(HWYS)",9,TILCON NEW YORK INC,38.2
"AGGREGATES, HOT MIX ASPHALT(HWYS)",13,NEW YORK SAND & STONE LLC,36.76
"AGGREGATES, HOT MIX ASPHALT(HWYS)",13,TILCON NEW YORK INC,39.71
"AGGREGATES, HOT MIX ASPHALT(HWYS)",14,NEW YORK SAND & STONE LLC,37.45
"AGGREGATES, HOT MIX ASPHALT(HWYS)",14,TILCON NEW YORK INC,38.47
"AGGREGATES, HOT MIX ASPHALT(HWYS)",15,NEW YORK SAND & STONE LLC,38.21
"AGGREGATES, HOT MIX ASPHALT(HWYS)",15,TILCON NEW YORK INC,39.27
"AGGREGATES, HOT MIX ASPHALT(HWYS)",16,NEW YORK SAND & STONE LLC,38.64
AWD POLICE SEDAN - NYPD,1,BEYER OF MORRISTOWN LLC,27600
AWD POLICE SEDAN - NYPD,1,MAJOR WORLD CDJR LLC DBA MAJOR,26563
AWD POLICE SEDAN - NYPD,1,ROBERT GREEN AUTO & TRUCK INC,25962
AWD POLICE SEDAN - NYPD,10,BEYER OF MORRISTOWN LLC,5061
AWD POLICE SEDAN - NYPD,10,MAJOR WORLD CDJR LLC DBA MAJOR,3500
AWD POLICE SEDAN - NYPD,10,ROBERT GREEN AUTO & TRUCK INC,4415
AWD POLICE SEDAN - NYPD,11,BEYER OF MORRISTOWN LLC,924
AWD POLICE SEDAN - NYPD,11,MAJOR WORLD CDJR LLC DBA MAJOR,536
AWD POLICE SEDAN - NYPD,11,ROBERT GREEN AUTO & TRUCK INC,667
AWD POLICE SEDAN - NYPD,12,BEYER OF MORRISTOWN LLC,360
AWD POLICE SEDAN - NYPD,12,MAJOR WORLD CDJR LLC DBA MAJOR,210
AWD POLICE SEDAN - NYPD,12,ROBERT GREEN AUTO & TRUCK INC,321
AWD POLICE SEDAN - NYPD,13,BEYER OF MORRISTOWN LLC,465
AWD POLICE SEDAN - NYPD,13,MAJOR WORLD CDJR LLC DBA MAJOR,400
